Round,Date, Teama,FThome,FTaway,HThome,HTaway,,Teamb,1,2,Description
34,(Thu) 19 Apr 2018 (16),Chelsea FC,1,2,0,1,,Burnley FC,Burnley FC,Chelsea FC,Burnley FC  Vs. Chelsea FC
34,(Thu) 19 Apr 2018 (16),Southampton FC,0,0,0,0,,Leicester City FC,Leicester City FC,Southampton FC,Leicester City FC  Vs. Southampton FC
34,(Sat) 21 Apr 2018 (16),Crystal Palace FC,0,0,0,0,,Watford FC,Watford FC,Crystal Palace FC,Watford FC  Vs. Crystal Palace FC
34,(Sat) 21 Apr 2018 (16),Liverpool FC,2,2,0,1,,West Bromwich Albion FC,West Bromwich Albion FC,Liverpool FC,West Bromwich Albion FC  Vs. Liverpool FC
34,(Sun) 22 Apr 2018 (16),West Ham United FC,4,1,0,0,,Arsenal FC,Arsenal FC,West Ham United FC,Arsenal FC  Vs. West Ham United FC
34,(Sun) 22 Apr 2018 (16),Swansea City AFC,5,0,2,0,,Manchester City FC,Manchester City FC,Swansea City AFC,Manchester City FC  Vs. Swansea City AFC
34,(Sun) 22 Apr 2018 (16),Burnley FC,1,1,1,0,,Stoke City FC,Stoke City FC,Burnley FC,Stoke City FC  Vs. Burnley FC
34,(Mon) 23 Apr 2018 (17),Newcastle United FC,1,0,0,0,,Everton FC,Everton FC,Newcastle United FC,Everton FC  Vs. Newcastle United FC
35,(Sat) 28 Apr 2018 (17),Brighton & Hove Albion FC,0,0,0,0,,Burnley FC,Burnley FC,Brighton & Hove Albion FC,Burnley FC  Vs. Brighton & Hove Albion FC
35,(Sat) 28 Apr 2018 (17),Leicester City FC,5,0,2,0,,Crystal Palace FC,Crystal Palace FC,Leicester City FC,Crystal Palace FC  Vs. Leicester City FC
35,(Sat) 28 Apr 2018 (17),Everton FC,0,2,0,1,,Huddersfield Town AFC,Huddersfield Town AFC,Everton FC,Huddersfield Town AFC  Vs. Everton FC
35,(Sat) 28 Apr 2018 (17),Stoke City FC,0,0,0,0,,Liverpool FC,Liverpool FC,Stoke City FC,Liverpool FC  Vs. Stoke City FC
35,(Sat) 28 Apr 2018 (17),West Bromwich Albion FC,0,1,0,1,,Newcastle United FC,Newcastle United FC,West Bromwich Albion FC,Newcastle United FC  Vs. West Bromwich Albion FC
35,(Sat) 28 Apr 2018 (17),AFC Bournemouth,2,1,1,1,,Southampton FC,Southampton FC,AFC Bournemouth,Southampton FC  Vs. AFC Bournemouth
35,(Sat) 28 Apr 2018 (17),Chelsea FC,0,1,0,1,,Swansea City AFC,Swansea City AFC,Chelsea FC,Swansea City AFC  Vs. Chelsea FC
35,(Sun) 29 Apr 2018 (17),Arsenal FC,2,1,1,0,,Manchester United FC,Manchester United FC,Arsenal FC,Manchester United FC  Vs. Arsenal FC
35,(Sun) 29 Apr 2018 (17),Manchester City FC,1,4,1,2,,West Ham United FC,West Ham United FC,Manchester City FC,West Ham United FC  Vs. Manchester City FC
35,(Mon) 30 Apr 2018 (18),Watford FC,2,0,1,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Watford FC,Tottenham Hotspur FC  Vs. Watford FC
36,(Fri) 4 May 2018 (18),Manchester United FC,1,0,0,0,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Manchester United FC,Brighton & Hove Albion FC  Vs. Manchester United FC
36,(Sat) 5 May 2018 (18),Swansea City AFC,1,0,1,0,,AFC Bournemouth,AFC Bournemouth,Swansea City AFC,AFC Bournemouth  Vs. Swansea City AFC
36,(Sat) 5 May 2018 (18),Southampton FC,0,1,0,0,,Everton FC,Everton FC,Southampton FC,Everton FC  Vs. Southampton FC
36,(Sat) 5 May 2018 (18),West Ham United FC,0,2,0,1,,Leicester City FC,Leicester City FC,West Ham United FC,Leicester City FC  Vs. West Ham United FC
36,(Sat) 5 May 2018 (18),Crystal Palace FC,1,2,1,0,,Stoke City FC,Stoke City FC,Crystal Palace FC,Stoke City FC  Vs. Crystal Palace FC
36,(Sat) 5 May 2018 (18),Newcastle United FC,2,1,2,0,,Watford FC,Watford FC,Newcastle United FC,Watford FC  Vs. Newcastle United FC
36,(Sat) 5 May 2018 (18),Tottenham Hotspur FC,1,0,0,0,,West Bromwich Albion FC,West Bromwich Albion FC,Tottenham Hotspur FC,West Bromwich Albion FC  Vs. Tottenham Hotspur FC
36,(Sun) 6 May 2018 (18),Burnley FC,5,0,2,0,,Arsenal FC,Arsenal FC,Burnley FC,Arsenal FC  Vs. Burnley FC
36,(Sun) 6 May 2018 (18),Liverpool FC,1,0,1,0,,Chelsea FC,Chelsea FC,Liverpool FC,Chelsea FC  Vs. Liverpool FC
36,(Sun) 6 May 2018 (18),Huddersfield Town AFC,0,0,0,0,,Manchester City FC,Manchester City FC,Huddersfield Town AFC,Manchester City FC  Vs. Huddersfield Town AFC
37,(Tue) 8 May 2018 (19),Southampton FC,0,1,0,0,,Swansea City AFC,Swansea City AFC,Southampton FC,Swansea City AFC  Vs. Southampton FC
37,(Wed) 9 May 2018 (19),Huddersfield Town AFC,1,1,0,0,,Chelsea FC,Chelsea FC,Huddersfield Town AFC,Chelsea FC  Vs. Huddersfield Town AFC
37,(Wed) 9 May 2018 (19),Arsenal FC,3,1,1,0,,Leicester City FC,Leicester City FC,Arsenal FC,Leicester City FC  Vs. Arsenal FC
37,(Wed) 9 May 2018 (19),Brighton & Hove Albion FC,3,1,2,1,,Manchester City FC,Manchester City FC,Brighton & Hove Albion FC,Manchester City FC  Vs. Brighton & Hove Albion FC
37,(Wed) 9 May 2018 (19),Newcastle United FC,1,0,0,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Newcastle United FC,Tottenham Hotspur FC  Vs. Newcastle United FC
37,(Thu) 10 May 2018 (19),Manchester United FC,0,0,0,0,,West Ham United FC,West Ham United FC,Manchester United FC,West Ham United FC  Vs. Manchester United FC
38,(Sun) 13 May 2018 (19),AFC Bournemouth,1,2,1,0,,Burnley FC,Burnley FC,AFC Bournemouth,Burnley FC  Vs. AFC Bournemouth
38,(Sun) 13 May 2018 (19),West Bromwich Albion FC,2,0,0,0,,Crystal Palace FC,Crystal Palace FC,West Bromwich Albion FC,Crystal Palace FC  Vs. West Bromwich Albion FC
38,(Sun) 13 May 2018 (19),Arsenal FC,0,1,0,1,,Huddersfield Town AFC,Huddersfield Town AFC,Arsenal FC,Huddersfield Town AFC  Vs. Arsenal FC
38,(Sun) 13 May 2018 (19),Brighton & Hove Albion FC,4,0,2,0,,Liverpool FC,Liverpool FC,Brighton & Hove Albion FC,Liverpool FC  Vs. Brighton & Hove Albion FC
38,(Sun) 13 May 2018 (19),Watford FC,1,0,1,0,,Manchester United FC,Manchester United FC,Watford FC,Manchester United FC  Vs. Watford FC
38,(Sun) 13 May 2018 (19),Chelsea FC,3,0,1,0,,Newcastle United FC,Newcastle United FC,Chelsea FC,Newcastle United FC  Vs. Chelsea FC
38,(Sun) 13 May 2018 (19),Manchester City FC,0,1,0,0,,Southampton FC,Southampton FC,Manchester City FC,Southampton FC  Vs. Manchester City FC
38,(Sun) 13 May 2018 (19),Stoke City FC,11,2,1,2,,Swansea City AFC,Swansea City AFC,Stoke City FC,Swansea City AFC  Vs. Stoke City FC
38,(Sun) 13 May 2018 (19),Leicester City FC,5,4,1,2,,Tottenham Hotspur FC,Tottenham Hotspur FC,Leicester City FC,Tottenham Hotspur FC  Vs. Leicester City FC
38,(Sun) 13 May 2018 (19),Everton FC,3,1,1,0,,West Ham United FC,West Ham United FC,Everton FC,West Ham United FC  Vs. Everton FC
